Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
59;17;15;059-017-015;25676604/17;15-59-17-15;2018-07-30;A.FIGUEROA 1947;Comuna 11;1416;C1416DQE;Obra Media;983.31;FIGUEROA, D. APOLINARIO, CORONEL 1947;-58.46293629;-34.61405878;FIGUEROA, D. APOLINARIO, CORONEL;1947;Villa Gral. Mitre;11;
60;52;26;060-052-026;21735137/16;1-60-52-26;2017-11-01;A.G.CHAVES 270;Comuna 9;1408;C1408HNB;Obra Menor;184.42;GONZALES CHAVES, ADOLFO 270;-58.50876314;-34.64144339;GONZALES CHAVES, ADOLFO;270;Liniers;9;
 ; ; ; - - ;26045812/16;;2018-05-02;A.GALLARDO 608;Comuna 6;1405;C1405DJT;Obra Media;1650.63;GALLARDO, ANGEL AV. 608;-58.43945966;-34.60574427;GALLARDO, ANGEL AV.;608;Caballito;6;
45;65;001b;045-065-001b;17081116/17;7-45-65-1b;2017-10-19;A.GALLARDO 906/32;Comuna 6;1405;C1405DJW;Obra Mayor;7655.04;GALLARDO, ANGEL AV. 906;-58.44333444;-34.60679751;GALLARDO, ANGEL AV.;906;Caballito;6;
35;18;15;035-018-015;13157338/16;17-35-18-15;2017-12-29;A.J.CARRANZA 1665/67;Comuna 14;1414;C1414COQ;Obra Menor;406.8;CARRANZA, ANGEL JUSTINIANO 1665;-58.43864636;-34.58286826;CARRANZA, ANGEL JUSTINIANO;1665;Palermo;14;
35;60;18;035-060-018;4876133/18;17-35-60-18;2018-08-03;A.J.CARRANZA 1941//45;Comuna 14;1414;C1414COW;Obra Media;896.26;CARRANZA, ANGEL JUSTINIANO 1941;-58.43616652;-34.58070213;CARRANZA, ANGEL JUSTINIANO;1941;Palermo;14;
 ; ; ; - - ;25599747/17;;2018-03-13;A.J.SUCRE 2775/83;Comuna 13;1428;C1428DVW;Obra Media;1859.18;SUCRE, ANTONIO JOSE DE, MCAL. 2775;-58.45850668;-34.565916;SUCRE, ANTONIO JOSE DE, MCAL.;2775;Belgrano;13;
45;97;4;045-097-004;21076129/17;007-045-097-004;2017-11-30;A.JAURETCHE 262;Comuna 6;1405;C1405CUF;Obra Menor;127.27;JAURETCHE, ARTURO 262;-58.43719732;-34.61097582;JAURETCHE, ARTURO;262;Caballito;6;
67;49;001g;067-049-001g;31300629/18;15-67-49-001g;2019-04-26;A.JONTE 2808/10;Comuna 11;1416;C1416EYN;Obra Media;1249.47;ALVAREZ JONTE AV. 2808;-58.48217521;-34.60861095;ALVAREZ JONTE AV.;2808;Villa Santa Rita;11;
79;73;18;079-073-018;23514488/18;15-79-73-18;2018-11-15;A.JONTE 3978/80;Comuna 10;1407;C1407GOT;Obra Media;807.01;ALVAREZ JONTE AV. 3978;-58.49642745;-34.61490121;ALVAREZ JONTE AV.;3978;Monte Castro;10;
